#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-24T03:22:08 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-24T03:22:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/199/26/table3&-out=RAJ2000,DEJ2000,cz&-out.max=50000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21990026
#Name: J/ApJS/199/26
#Title: The 2MASS Redshift Survey (2MRS) (Huchra+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/apjs/199/26	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/199/26	    IVOID of underlying data collection
#INFO	creator=Huchra J.P.	    First author or institution
#INFO	cites=bibcode:2012ApJS..199...26H	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/199/26	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21990026	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_199_26_table3:
#Name: J/ApJS/199/26/table3
#Title: 2MRS catalog
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	cz	(I5)	? Redshift, corrected to solar system barycenter reference frame	[ucd=phys.veloc;pos.heliocentric]
RAJ2000	DEJ2000	cz
226.62206	+01.60537	 1630
191.28615	-00.46191	 1523
184.70677	+14.41649	 2407
169.22774	+18.05181	  960
282.24118	-65.17344	  946
051.57217	-21.33537	 1570
184.96111	+29.61470	  930
332.31769	-47.16666	 1750
020.44520	+05.25672	 2272
094.65713	+78.35702	  893
199.95851	-27.41009	 2143
179.39993	+53.37452	 1048
133.90721	+78.22308	 1400
137.58397	+07.03777	 1350
187.85014	+25.77498	 1344
167.87903	+55.67412	  699
198.36473	+36.59365	  875
024.17405	+15.78346	  657
067.91473	-54.60227	 1063
137.90627	+60.03721	 1373
179.58571	-50.97707	 4229
253.19304	-59.21694	 1499
023.57598	-29.41849	 1481
000.81228	+16.14523	 1059
200.49023	-36.63021	  468
178.45428	+52.32654	 1052
200.07051	-21.82758	 1659
187.12347	+17.08495	 1954
187.25011	+13.97856	 1210
021.19883	+09.53884	 2379
071.42730	-59.24741	 1331
151.45065	-67.37798	 1713
309.30872	+66.10563	 1424
065.49509	-56.97475	 1041
359.45761	-32.59103	  227
180.47154	-18.87720	 1705
185.02841	+29.28050	  649
218.16991	-44.17461	 1233
296.23416	-14.79758	  -57
187.45366	+13.42932	 2244
192.20532	-41.31109	 2958
055.50647	-47.22208	  991
167.49054	-37.53934	 3030
139.82732	+69.20334	  696
343.75394	-39.66137	 1709
040.43847	+00.44318	 1006
319.75104	-48.56201	 2285
207.31334	+60.19041	 1754
153.44031	+03.42467	 1183
348.03162	-28.53960	 1549
150.49135	+55.68000	 1116
199.52112	-26.83722	 2028
187.50945	+13.63645	 1355
188.86012	+14.49632	  486
035.76904	-21.23385	 1485
153.56291	+03.46612	 1238
140.75441	-32.44976	 1664
302.47531	-48.37955	 2855
267.36047	+70.14434	   25
187.01622	+09.80362	  532
204.38362	+08.88506	 1151
186.94022	+13.00859	   71
178.23065	+36.98635	  928
025.75979	+13.64568	  856
095.41574	-27.23374	 1514
186.91875	+13.07900	  801
028.25218	-13.73868	 1620
180.09848	-01.10000	 1430
200.44267	-27.43052	 1815
184.84692	+05.82471	 2238
349.59842	-42.37057	 1575
029.83159	+19.00754	 2472
165.07739	+13.90123	  677
179.48395	+55.45355	 1040
188.87294	-03.79321	 1019
022.83648	-06.86806	 1872
182.76819	+50.48468	  774
193.23354	+11.23080	  984
190.83391	+01.97836	 1335
045.30903	+44.89721	 1954
150.82976	+68.73373	   14
188.18994	+00.11504	 1128
187.04633	+44.09356	  207
154.22359	+73.40069	 2802
110.97812	-27.52906	 1782
182.63608	+39.40576	  995
040.26999	-08.25583	 1590
215.08311	+03.93359	 1507
183.77098	+33.19728	 1086
187.65154	+41.64363	  565
191.27489	+03.05571	  785
054.23773	-35.50664	 1265
169.01950	-76.21632	 1680
189.98309	+10.17610	 1870
052.78383	-33.62864	 1918
170.27855	+03.23482	 1251
194.83864	-15.04217	 1353
212.09892	-47.97081	 1415
052.08195	-31.06818	 1106
154.52351	+21.83194	 1271
181.39246	+50.53903	  757
205.75877	-48.16941	 3004
147.59264	+72.27865	 1322
168.65417	+12.81802	  640
063.18019	-57.73796	 1148
193.07318	+11.31366	 1347
225.29694	+01.70197	 1972
181.66989	-29.76021	 1884
204.16269	-33.96588	 3737
133.38644	+51.31358	  692
172.88330	-30.30774	 1776
287.84848	-57.04957	 3166
188.58463	+08.19776	 1964
200.30356	-43.70469	 3421
060.11570	+68.57774	 1102
161.92667	+13.98564	  665
344.30655	-43.39614	 1689
181.76303	+43.06539	  807
226.35944	+02.09932	 1359
050.98499	-36.46466	 1266
189.14288	+11.23863	 2232
154.57077	+41.42438	  592
180.36205	+61.89570	 1445
349.04486	-42.58483	 1600
081.69839	-63.76002	 1100
185.63350	+29.89532	  963
196.45383	-08.02041	 1407
017.36280	+35.71796	  -48
146.81441	+67.91638	    2
179.85495	+50.96169	  930
208.36134	+40.28308	 2325
192.41232	+15.16549	 1125
101.92880	-26.75436	 2037
185.30371	+18.38240	  900
008.69484	-08.39644	 1685
192.09550	+08.48730	 1009
027.23879	+05.90598	 1506
295.89349	-58.65571	 2107
137.70609	-08.89070	 1819
160.87979	+24.92222	  580
155.39616	-34.26680	 2858
178.30719	+60.67556	 1259
188.61304	+02.18788	 1808
179.63091	+43.94702	  835
315.88995	+29.89740	  779
183.96208	+47.09179	 1027
210.91154	-33.97839	 4126
060.97617	-43.34885	  898
047.43964	-20.57930	 1651
186.32426	-39.75972	 3378
295.66910	-10.32370	 1671
301.83115	-48.37022	 2720
056.32115	+76.63830	 2536
062.10057	-47.89704	 1212
113.08536	+85.70886	 1905
178.66710	-13.97504	 1738
046.03325	-26.06963	 1649
162.72208	+13.41214	  841
177.30507	-29.27674	 1684
198.25421	-19.51830	 2687
062.46600	-56.11845	  764
171.18182	+38.76278	 2049
156.63451	-39.94394	 2774
223.49016	+03.54451	 1677
067.70494	+64.84792	 -104
146.06685	-21.27829	 2296
189.22249	+07.24663	 1730
181.59631	+52.71095	  846
056.13298	-44.64483	 1168
304.57977	-70.85881	 4010
349.77002	-08.48514	 2214
263.10126	+07.06027	 1665
208.91676	+40.46177	 2539
186.73515	+15.04742	 -261
118.96465	-52.30678	  946
196.07124	-30.52628	 3197
199.24370	-16.63485	 1744
184.53465	+28.17532	 1071
194.18013	-50.34687	 2064
155.87753	+19.86495	 1157
202.45346	-17.96649	 1501
186.23096	+11.70427	  943
197.23845	-15.51629	 1297
083.34065	-21.94577	 -248
354.97446	-12.29301	 1766
176.53242	+47.49450	  906
177.31404	+56.08435	 1176
116.89188	-41.45214	 1131
200.10402	-20.61099	 1818
198.84987	-16.38553	 2782
013.01798	+47.55051	  627
053.75563	-24.93311	 1405
224.59462	-01.09108	 1905
063.41961	-31.64541	 1384
187.24588	+03.57060	  882
185.99094	+16.69335	 1200
153.67546	-28.87206	 1082
054.87851	-18.68817	  530
330.66592	-20.81282	 2620
094.76109	+03.16428	 2902
194.50517	+01.57558	 1108
124.69003	-25.49952	 1637
187.06429	+28.62030	  661
038.55573	+29.31127	 1543
180.79036	+44.53126	  700
050.68454	-37.10379	 1941
049.92116	-19.41136	 1620
138.46037	-69.64500	 1652
185.42699	+14.59776	 1098
113.71317	-69.28413	 1367
182.40031	+42.53419	  958
204.51266	-17.88403	 1355
209.46098	-43.93130	 2425
189.35431	+74.19189	 1980
085.51990	+69.37838	 3934
186.90549	-39.33781	 2934
215.26534	+03.27099	 1487
113.48438	-50.44302	 1085
189.99742	+61.60919	  136
038.39312	-39.04506	 1933
184.93866	+12.79833	 1009
190.98599	+13.12635	 1048
149.60246	-26.92660	 2580
061.01133	-54.10006	 1175
049.96339	-26.06059	 1710
156.82657	+28.50740	 1314
173.14558	+53.06783	  993
183.21712	+01.29968	 1256
172.43512	-36.39130	 2977
032.08808	+10.99492	 1735
157.79832	-46.25127	 2822
008.30050	+48.50874	 -193
105.66829	-28.69725	 2185
188.99037	+27.95976	  807
188.02586	+11.17643	 1342
049.56686	-66.49826	  470
169.60532	+58.78622	 1704
326.06717	-75.11132	 2381
199.72836	-21.03910	  668
189.11247	+11.43929	 1142
194.86308	+14.17105	 1988
218.19521	+49.45784	 2096
181.50484	+47.47836	  555
041.49969	-07.57864	 1435
177.15913	+48.71082	  967
300.86264	-55.94717	 4434
064.39906	-62.78367	 1304
145.64680	+58.85121	 1337
185.08968	+05.38640	 2711
332.11414	+48.44078	 1103
161.79169	+72.83967	 2837
225.23209	-07.45736	 1894
172.53107	+09.27663	 1018
139.04623	-16.31273	 2103
194.20375	-08.52529	 1069
140.85019	-63.81256	 2881
014.45378	+30.35236	 4942
199.74973	-47.90866	 3005
308.58569	-31.98089	 2791
175.24477	+11.47112	  990
154.97913	+45.54969	  667
305.20682	-48.23908	 2958
111.76688	+80.17807	 2204
173.33823	+47.02909	  866
169.65051	+57.99997	 2034
140.36455	-11.90949	 1793
339.35223	+23.79833	 1172
332.14288	-57.44259	 1655
023.21629	-07.03156	 1872
154.60374	+21.89397	 1399
162.81761	+27.97500	 1414
088.04749	-07.45620	 2410
330.53522	-31.98982	 2502
328.17700	-48.25390	 1939
124.74310	+57.80309	 1039
192.51636	-41.38203	 4661
013.17652	-31.20583	 1629
181.53584	+49.58231	 1074
178.20605	+44.12073	  809
187.26254	+13.18385	 1931
045.89479	+46.38635	 2387
350.06049	+08.20626	 3762
190.92764	+16.39338	  788
284.12366	-54.30577	 2659
086.75787	-34.25060	  883
066.90880	-55.02779	 1510
141.07729	+34.51338	 1687
147.53401	-73.92220	 1220
184.37358	+37.80711	  244
229.55650	-24.09793	 2120
119.56254	-49.85141	 1119
029.92765	-05.96419	 1362
049.18761	+80.79332	 2342
142.11032	-60.80177	 2281
350.17722	+08.21700	 3405
095.23224	-08.49562	  732
288.81738	-54.13249	 2847
156.96364	-43.90382	 2836
067.91609	-05.08612	 4681
209.47607	-29.31573	 2625
054.19257	-35.99924	  907
296.31311	-54.34414	 2522
187.36670	+08.75016	  588
091.42652	-86.63202	 1867
095.46039	+00.36621	 2733
179.71759	+42.72241	  703
074.23473	-04.86575	 3891
150.17017	-31.66449	 2582
186.44508	+12.66207	 2524
192.53069	+72.87448	 1623
184.11385	-43.32426	 1999
063.65226	-56.06081	 1238
189.91455	-05.34421	 2698
169.24567	+18.14860	 1253
229.65219	-24.06859	 2565
011.78564	-20.76040	  156
214.60713	+36.49362	 3213
056.61356	-03.96879	 3909
150.05891	-19.63644	 3964
149.78607	-34.22523	 2592
070.36762	-02.85804	  820
207.27213	-30.29586	 4517
053.01260	-20.81916	 1545
190.88559	+11.58247	 1395
224.85045	-16.62399	 2863
157.61037	-35.35950	 3804
131.77258	-33.76406	 2257
181.01595	+31.89579	  760
198.21608	-43.09623	 3121
058.00346	-83.83068	 1753
330.17181	+17.73807	 1140
198.55682	-42.96127	 3765
215.30455	-46.29790	 1691
176.76906	-16.85460	 1196
184.04887	+47.88337	  916
213.31209	-03.20756	 1853
295.91959	+56.10946	 3386
194.53265	-46.26424	 2181
093.04019	-21.80595	 2306
234.66582	+59.35588	 3017
209.05002	+05.01446	 1241
333.34042	-46.01761	 1936
237.45645	-29.38683	 2112
186.71091	+09.58418	  854
193.64874	-12.56861	 4618
054.68694	-44.10061	  993
191.13326	+11.19052	 1083
057.56205	+70.09470	 1232
190.30534	+10.15575	 1864
281.82559	-63.33116	 4507
040.81271	+32.42497	 5190
220.59970	-17.25317	 2921
157.50273	-35.32546	 2790
185.86642	+46.99382	  770
190.69762	+11.44247	 1164
170.01582	+18.35681	 1493
248.80881	-58.08003	 2741
219.79607	+05.36355	 1505
243.94202	-60.91871	 3839
053.81914	-35.22625	 1475
056.26214	-18.26604	 1597
193.21164	-42.65993	 2094
203.16920	-77.84463	 2950
171.26030	-09.79538	 1885
281.27634	-62.29723	 1185
199.42786	-32.10170	 2310
228.44048	-14.26982	 1957
055.58097	-35.39263	 1410
211.66864	-55.35730	 3792
193.47064	-39.71432	 2995
182.37411	+43.68529	  888
183.89279	-35.62975	 2948
139.08228	-23.63324	 2559
274.94339	+74.56837	 1484
165.84903	-23.08679	 1125
243.76605	-60.90725	 5448
142.90256	-16.73476	 2137
199.88187	-12.65701	 2806
101.94249	+74.48183	 4059
319.13492	-48.36355	 2036
139.65295	-38.01009	 2530
229.18007	+55.40926	 3306
183.91322	+36.32689	  291
176.52693	-56.39111	 1831
186.48178	+18.21393	  922
281.82846	+45.55064	 2461
150.62094	-31.67741	 2673
201.32727	-21.13416	 1752
220.23495	-00.31823	 1725
214.61380	-43.38826	 1193
338.94263	-26.05025	 1428
341.94791	-22.31210	 3295
045.65661	-22.86716	 1384
067.68935	+00.86368	 3793
190.23004	-40.97640	 2585
032.88100	+70.77241	 3223
035.50419	+33.26607	 3978
197.41936	-07.83341	 1820
054.01647	-35.44121	 1363
166.95212	-46.52607	 1068
346.23605	+12.32289	 2381
080.64352	-11.49954	 2743
184.67932	+65.89808	 2528
063.11806	+27.70187	 4053
348.68277	+04.53393	 2689
252.77838	-58.99346	 1564
139.47044	-22.35468	  892
253.47231	-58.77807	 2648
043.61413	+41.57961	 5194
165.09978	+28.97482	  681
331.47839	-50.11933	 2923
275.57285	-85.40205	 2437
213.97789	-48.11485	 4123
234.90454	+59.33195	 2517
217.41827	+03.23339	 1676
142.49353	-62.18325	 2915
165.79671	+27.97250	 1525
226.78198	+01.54428	 2544
196.05476	-05.55162	 1291
049.95098	+41.51168	 5264
178.52789	-39.86706	 2960
345.24982	+30.14478	  812
029.08735	+05.62887	 5561
359.74915	-55.45834	 3321
348.98959	+06.68752	 3608
193.65741	+46.53115	  891
218.02322	+57.92143	 1898
192.88266	-26.45209	 3215
124.69157	-25.36976	 1844
183.91402	+13.90151	  -81
230.48567	+05.07054	 1480
304.23535	-70.76825	 4555
159.17842	-27.52834	 3864
046.51253	-15.61121	 2664
284.23306	-54.54544	 2740
341.84232	-65.05849	 3189
344.50757	-33.74221	 1657
101.20464	-27.63861	 1892
159.06779	+37.32463	 1567
157.25610	-44.65685	 2512
170.26227	+53.16943	 1156
055.23690	-22.56448	 1658
272.96347	+14.98177	 2282
330.50790	-31.86989	 2557
208.60094	-48.51253	 2752
157.22322	-35.60551	 2769
310.98917	-80.00085	 2721
354.73785	-12.96109	 1800
357.85367	+20.11182	 4277
157.96703	-34.85370	 3437
160.88759	-36.41070	 2937
065.86292	+75.29557	 2461
134.33546	+02.92140	 3894
193.05544	-29.84066	 2833
267.95337	+23.07194	 3936
187.57260	+12.32854	 1349
324.12027	-54.55732	  830
195.24887	-14.51363	 2673
000.99545	+20.75235	 2309
184.87743	+14.87769	 1359
053.01423	+68.36839	 1679
057.11308	-16.39290	 1394
144.18689	-21.12815	 2268
206.75168	+60.97308	 2041
147.81438	-32.75256	 2727
176.69371	-27.92218	 2094
184.40326	+29.60801	  869
333.91455	+37.29871	 5750
094.09206	-21.37272	 2741
110.33326	-69.00148	 1363
288.46808	-56.30996	 3404
185.89709	+16.72226	  950
305.93692	-19.32542	 3234
234.10945	-66.85975	 3510
353.31857	-45.01596	 3081
356.24683	-42.91093	 3010
146.57774	-30.43748	 2393
160.53145	+13.74693	 1296
042.33170	+08.09264	 3424
192.95015	-10.45473	 1270
039.84861	+01.09379	 2694
145.72600	+31.84726	 1328
020.91642	+33.25613	 4934
109.16273	-35.37344	 2790
218.87370	+48.74154	 2160
211.18013	+54.89262	 2026
040.93477	-29.00336	 1501
030.06218	+31.42939	 5015
191.82291	-02.72749	 1570
185.38660	+14.60607	 1124
193.37155	+02.16833	 1040
227.97354	-72.85941	 3025
209.06944	+47.23562	 1793
078.01389	-15.68780	 2029
054.13202	-35.29519	 1729
189.13626	+11.25787	 2271
132.34122	+19.07496	 4343
017.74534	+33.15200	 5294
190.77321	-41.35891	 3328
330.59009	-18.91650	 2642
029.08016	+73.28278	 2935
191.04164	-41.74994	 2594
186.53149	+13.11279	  236
021.50248	-01.34514	 5468
349.72839	-42.23906	 1512
224.69260	-19.26686	 3350
171.93314	+17.22410	 1156
228.55595	-46.80920	  522
133.89479	+58.73441	  883
204.98344	-31.64018	  407
204.84782	-30.77407	 4334
185.07399	+75.37090	 1757
306.27789	-24.80943	 3205
191.93971	+13.76272	 1604
312.17746	-37.99743	 2713
180.55077	+62.13728	 1209
212.01311	-33.31506	 4462
130.90872	+50.20554	 3336
211.79720	+55.00156	 1904
257.60373	+72.30438	 1198
219.89645	-45.01900	 2767
184.29126	+07.19163	 2410
220.04803	-00.28921	 1899
206.32976	+41.71236	 2549
177.00423	-10.96206	 1789
164.85846	-66.33280	 1831
008.56449	-27.80360	 1534
148.61916	-25.70345	 2394
010.14592	-13.87280	 1605
173.98877	+70.53558	 2696
017.48158	-45.93120	 7191
349.50558	-04.65031	 3539
109.15722	-62.34372	 3321
061.26641	+70.99652	 1089
189.37729	+09.55510	 2273
132.29947	+60.22112	 1338
358.82928	+05.91582	 3808
145.80006	+31.92879	 1538
212.87242	-05.04362	 2693
157.71584	-36.73697	 3161
195.98743	-11.49658	 3238
201.19003	-37.68221	 1453
147.50327	-32.88282	 2885
102.15536	-64.27332	 3499
140.87587	-23.16143	 2603
226.02922	+01.21991	 1630
323.93619	-63.90282	 3080
046.37880	+42.83542	 2740
193.35808	-41.20284	 4335
103.47482	-40.86261	 1142
243.95898	-60.80305	 3378
168.54575	+48.31838	 2105
187.33797	-23.16664	 1741
021.14613	+03.79241	 2281
321.09171	-40.53773	 5355
327.69427	-70.33414	 3698
024.77722	-07.51260	 2043
162.01817	-31.53337	 2991
276.97348	-71.60987	 3642
047.18517	+65.66212	 2473
185.77576	+05.25041	 1667
195.03378	+27.97698	 6446
208.22217	-28.48932	 4713
352.18094	-41.33348	 1504
067.66637	+00.66168	 3694
349.83810	-42.25684	 1681
356.08807	+09.93409	 1710
216.63867	+56.58264	 1979
058.66220	-20.50245	 1698
160.69394	-36.35268	 3130
183.07185	+13.20531	 2273
185.66057	+11.80088	 1431
252.76140	-60.80869	 3285
055.54806	-29.89351	 1564
172.13052	+58.56161	 3064
278.65277	+22.90966	 4236
102.53611	+60.84575	 1840
053.32116	-13.66414	 1965
086.69774	-16.78266	 2142
280.46902	-63.86209	 4504
157.30568	-44.12291	 2935
055.62212	-13.48817	 2119
254.76230	-60.21602	 1144
319.58975	-63.76067	 3144
036.82047	+33.57888	  553
137.86462	-14.81665	 2017
158.78433	-43.69184	 2891
027.82320	+22.35797	 3090
165.85577	+18.13539	  979
186.11812	+75.52891	 1677
074.49630	+68.32352	  890
015.84117	-06.33921	 2347
058.61853	-35.96715	 1343
016.85396	+32.41256	 5098
195.25330	-32.44135	 5109
193.36386	-48.74919	 3678
218.50519	-78.38750	 2699
221.54631	-00.22301	 1659
007.31275	+02.86405	 4241
198.74739	-16.59031	 1887
231.89603	-64.17095	 3260
331.70898	-64.31625	 2881
193.95685	-12.05530	  941
159.23349	+21.88213	 1321
330.13718	-43.38972	 2417
348.70209	-43.59994	 1557
194.30101	-13.66485	 4358
107.08556	+18.78025	 2206
225.00172	+01.89129	 1355
202.86783	-34.79443	 2425
234.13190	+16.60785	 1967
119.21788	+60.34938	 1442
339.44534	+23.78669	 1313
213.89261	+36.22698	 2870
176.45442	+13.76670	 3186
304.59702	-41.05016	 5628
095.38657	+59.12668	 3111
152.21068	-67.03085	 1397
159.14854	-27.51843	 4039
181.11276	+01.89601	 5911
133.63544	-32.93748	 2156
054.84709	-31.32143	 1034
068.76662	+73.26243	 4221
252.72760	-61.81264	 4706
333.90833	-45.85007	 1915
291.70728	-54.95131	 3165
317.96689	-49.28373	 2766
198.49191	-49.47871	 3487
145.92125	-20.47719	 1994
159.44725	-27.08125	 2990
319.63770	+26.44691	 4672
179.03102	-19.89618	 1723
186.32538	+04.92506	 2559
316.28058	+66.77304	 2502
152.71733	-66.64742	 1918
197.20309	-06.77754	 1680
198.58429	-46.12486	 3091
328.33432	-47.88245	 1840
134.25465	-24.67375	 2578
189.61842	+04.31915	  780
216.03163	+34.85887	 3892
217.91092	-43.41844	 1973
185.89561	+06.08174	 1289
190.15353	-05.13301	 2539
149.98143	-29.61780	 2424
185.50935	-35.79274	 2926
166.69789	+72.56853	 2649
023.77366	-07.34030	 1823
029.38636	+33.20928	 5171
164.08678	-50.56024	 2823
034.05539	+70.68877	 3605
218.90013	-45.96696	 2852
076.36300	-11.87138	 2299
177.20985	+59.41562	 3223
184.84270	+06.09876	 1776
191.08163	-40.73181	 2896
289.59448	-60.50109	 3686
039.63658	-06.67755	 1453
114.11740	-47.63555	  972
307.14090	-36.02712	 2215
108.57268	+84.38227	 2222
245.45258	-02.28344	 1581
108.88035	-29.35903	 2098
192.05698	-03.33292	 1126
138.38165	-63.62642	 1903
051.55865	+66.59373	 1848
237.85513	+62.31003	  827
208.14957	+00.81835	 4443
170.42955	+20.16957	 4248
228.76353	+42.04987	 2562
217.33083	-33.45512	 2922
059.90612	-67.63477	 1341
311.14056	-68.74773	 3114
054.45708	+72.57133	 2215
190.38647	+07.31482	 1783
186.34239	+10.01672	  948
193.28012	-10.49428	 4430
354.45810	-47.72778	 2844
174.75716	-37.73857	 2817
196.05995	-10.33961	 3188
234.98912	+58.07939	 3010
163.22357	-32.92762	 3274
323.14688	-44.06756	 2688
178.50642	-19.56877	 1623
158.39934	-27.45445	 3375
171.30370	-26.73688	 1987
101.84758	-26.73626	 1632
224.73444	-42.01337	 2998
054.29891	-35.74611	  883
340.46823	-44.76716	 1747
356.06552	+10.76709	 1663
041.60494	-00.49872	 1523
179.87570	-19.26522	 1671
110.92501	-29.65234	 1970
074.92458	-07.75518	 3995
146.42519	-14.32636	 2332
334.03790	-36.84372	 3342
