x,y,z,r
-6272433.964073046,-938834.0113028424,857416.3898386292,6400000.0
1425165.9556517168,92744.3467542951,-1164655.714782716,1842857.1428571425
-1817972.1031697101,-126386.88225153882,425733.1159900776,1871428.5714285716
11445292.411810366,15412172.645193556,-14019665.912190426,23771428.571428575
-11076062.405439502,7355675.250754083,-8049552.245902806,15542857.142857144
-20925304.80640832,-3476042.449604116,4438419.084987987,21671428.57142857
-22602558.850925412,885121.392336077,-12438578.71503243,25814285.714285713
-7175007.089148597,-1334131.815545928,4656767.979875643,8657142.857142856
-13152188.854566824,-2486981.5832880912,628371.6561033615,13400000.000000002
9591363.06393322,13554999.234189989,-8220444.6060173595,18528571.42857143
2481215.5125270137,10684713.066998238,-8420799.487662349,13828571.42857143
-8501709.226454532,1565276.6017337404,-5573757.059311944,10285714.285714287
-5443835.472033096,6638623.501244454,-12317552.876783729,15014285.714285715
-17076841.037635162,3529826.7236334467,-8791298.283944136,19528571.42857143
-17512221.419586364,-1876960.6540792878,2261690.0988858724,17757142.857142854
-16465094.196598982,18752144.465171013,-16702480.447385501,30028571.42857143
-21484691.236359365,-2155342.0735088103,6119181.298111682,22442857.142857146
-3467713.204375434,-3985450.0619492186,7929995.35972733,9528571.42857143
-9998733.755889183,3444684.8851783355,2190769.116238891,10800000.0
-17236146.451443985,-4008481.2832141034,-370585.08671704977,17700000.0
13800157.25755725,19745024.901026957,-8097874.3934357455,25414285.714285716
-4683689.336112756,-734801.3182084071,1055915.6975046373,4857142.857142856
-9337208.173579853,3021163.9519131645,2198916.6304963958,10057142.857142858
-5640310.08069295,-1046354.3477129358,1182441.212760835,5857142.857142856
5661381.224761472,11119749.754788347,-8064404.621319161,14857142.857142858
-13814644.779753087,17464049.906655245,-9439879.553114008,24185714.285714287
-12748640.012130959,-1533874.1313556407,2520977.262412029,13085714.285714285
4262963.313070126,8716584.214123648,-14167083.772364095,17171428.57142857
-12879152.740438117,-3976016.7483727587,-15785363.318497341,20757142.85714286
12567839.553946117,17760921.18396149,-15573817.178871932,26757142.85714286
10250962.818663133,-5457785.470389993,7077452.8645259,13600000.0
18972277.24960837,2528483.247741911,-12546528.874442846,22885714.285714287
-18510680.614440843,-16223917.441532204,840081.3369882015,24628571.428571425
18946279.32880301,-5327510.696479111,-14543278.36838734,24471428.571428575
-7880969.201481802,1172789.1907271475,7583857.195346499,11000000.000000002
-3709429.9466329417,-3925791.052540693,7936516.495466645,9600000.0
12727787.670858802,17592417.838001974,-15190795.095013443,26499999.999999996
-1350088.2705056262,-7109630.040332383,-14093492.99501107,15842857.142857144
-8128245.543113156,-287405.52739148086,17581276.044464037,19371428.571428567
-14167367.329181308,-7862848.541477116,1490202.512727518,16271428.571428575
-22201375.273358427,-2129521.2671110793,1744961.739110991,22371428.57142857
17011533.415918816,13709697.186314743,-3599730.0381571027,22142857.142857138
-8688783.203514395,-1007313.6261958297,5302267.361251604,10228571.428571427
-2990449.583039291,6685440.3811725695,-19620534.230932903,20942857.142857146
-24499021.135542016,-3676879.3934678626,1148268.838799119,24800000.000000004
12452433.395452922,17537907.027134262,-9142340.679978583,23371428.57142857
15303910.483501127,11493044.881935723,-386293.73102876125,19142857.14285714
5215949.166960057,11186531.118108008,-17586680.022068884,21485714.285714287
1581530.8638703735,386203.35483393836,-1257554.70260117,2057142.8571428566
3165602.9486288507,4890727.536004081,16122570.922796769,17142857.14285714
3131261.7265418265,12854926.229507837,-10329872.976732984,16785714.285714284
-15986530.928372681,-16918325.83827455,652356.8824452581,23285714.285714284
-21335709.773261596,-4257932.396260878,-175400.9297127729,21757142.857142854
-33190653.69361184,-2732716.7711653914,8560964.512138655,34385714.28571428
-12809444.221237382,2437105.3368455833,4249739.8712377995,13714285.714285715
1203102.2488553238,-5545269.762196251,-12265335.16095741,13514285.714285715
12984641.10588727,16366203.167217592,-8160104.507124286,22428571.42857143
-11506905.8822051,-998854.0894077593,6565334.081962603,13285714.285714287
15051211.60616543,-7896135.77451617,-18333359.458016336,25000000.0
30284651.2638235,11289964.382674022,2973671.89103388,32457142.857142854
-209035.13409796648,2566053.156198379,12494653.632247195,12757142.857142858
-25545081.779120233,-9276706.245152825,-14093473.94843161,30614285.714285716
-8931192.513637673,93541.56095512318,12015353.666459603,14971428.57142857
-2830860.305990585,2940958.3033977067,19578993.696961112,20000000.0
-14130725.022389287,12910376.739719735,2362955.4143759976,19285714.285714284
-17127740.18076847,-2361480.269059241,8348887.7845455,19200000.0
-5505402.091151673,1182363.6654784877,8246638.937968452,9985714.285714287
-9524910.010441378,-3162005.015407274,7451698.704022652,12499999.999999998
8239799.425544036,3698627.9346746816,2552937.4220120497,9385714.285714287
3307289.101166606,8150881.693806202,-12378646.322689185,15185714.285714285
-7269194.983057451,6566776.890486217,16992835.24461122,19614285.714285713
-38037734.33832503,275045.17326105444,-46935498.664944656,60414285.71428572
-3168945.438297737,-10491447.553777317,-18397253.753984403,21414285.714285716
16890779.181636102,7370968.847437253,-10392068.64704372,21157142.85714286
14530439.32011783,206011.26552741267,4206847.512358546,15128571.42857143
-5025853.002439307,-1878112.6993928181,-3989018.6508031404,6685714.285714286
-9181526.597898994,247758.44654828054,11895215.183758164,15028571.42857143
-20664783.93819799,-7550178.82831559,-8812009.103947258,23699999.999999996
-26476478.634602208,-3308834.09611211,8200917.203254417,27914285.714285713
-16639706.757929454,-2116870.5293966574,4175516.3200777704,17285714.285714287
31247835.353929915,12119502.480225103,5631981.963368614,33985714.28571429
3096726.4808605593,9216260.592906622,-16340559.568474494,19014285.714285716
-8268378.933746472,4498588.994966985,-22588656.958501764,24471428.57142857
5219971.669892707,-6375579.200603091,18599347.36373964,20342857.14285714
3361744.0456908965,7374999.15937954,-12468658.794173293,14871428.571428575
2732103.8450186523,-25864.20996823717,-1746728.9634218025,3242857.1428571427
-23046293.50079028,-189673.5621488228,-7880532.214166681,24357142.857142854
-8055748.251785188,-708811.8245893614,4534522.428689072,9271428.57142857
-9932074.354567053,-7807329.28397768,-12274468.20401543,17614285.714285713
-30917136.594251227,-4044882.2176667713,7445132.693302373,32057142.857142854
-31023414.68644629,-6710514.961803202,-27895928.960857064,42257142.857142866
5445069.348217662,7924541.967448515,-10391224.580231087,14157142.857142858
-33507951.624188416,7434338.590562448,-26374245.93986362,43285714.28571429
-2697466.3982054805,2277331.9811730413,9295043.961237844,9942857.142857142
18044355.40198332,-5258103.745036638,-15582391.667267337,24414285.714285713
10937809.758501675,9321476.281338237,111161.17554107615,14371428.571428573
16488623.37475966,-13958136.274512727,-24471449.760822125,32642857.142857146
-11067629.467874449,-5715693.236816062,21741638.322530285,25057142.857142854
-15089531.558715556,7543000.948967861,1009541.4911717082,16900000.0
19017089.168734822,-4031239.183940631,-10572279.965061374,22128571.42857143
-7822795.454545601,4427483.907360775,13167230.210031,15942857.142857142
-24365038.18310565,-8638221.396532737,-13079362.328098241,28971428.57142857
-18650148.357310727,-2458468.0310035516,4563647.749626425,19357142.85714286
-6641612.979009655,-1035313.1805251832,1737920.8731710901,6942857.142857143
16044262.571907602,11558313.079027329,-7683290.679013626,21214285.714285716
-15807239.640931673,7859540.217743069,1069248.4724122428,17685714.285714287
-15535147.159057269,12690753.816714864,-12754794.65285516,23771428.57142857
14545378.862215647,-22853397.641862147,-30489812.393215187,40785714.28571429
-5586.325072108041,-121175.50729319328,335911.1635724381,357142.85714285716
-7432937.605426927,-914785.9857291908,1294065.3593013326,7599999.999999999
-14796471.035008967,-6706877.082068345,2539644.805199192,16442857.142857144
-981014.2387477265,-119414.55529530458,228312.8063905411,1014285.7142857142
-10584476.617721945,326962.984837514,7975825.140393779,13257142.857142856
10702473.581720727,5164514.791202975,2884927.27597926,12228571.42857143
-1815054.6491069049,19145134.722538795,-9897701.506784854,21628571.42857143
-11064852.09739101,-1342668.3667293221,2589453.47741235,11442857.142857142
19802650.61854893,10641319.001225172,-5496289.214419265,23142857.14285714
-20424776.520251796,-35106.1455064248,-392176.32330794603,20428571.42857142
-21564088.96872427,-8037898.473899656,-11944583.34973457,25928571.428571425
-31692621.63486116,-2687441.961292036,3244631.6450679637,31971428.57142857
16349861.187003195,-3001227.1138800196,-15163267.292263824,22500000.0
28964493.87570489,16609336.188861366,11501600.81900942,35314285.71428572
-9071544.994179584,2417585.1413632086,2323549.895113088,9671428.57142857
-8424760.290203122,75881.9436678234,12237334.26285287,14857142.857142856
-14351426.478019265,-2240429.7344477195,-963037.2860254908,14557142.857142856
24469790.8627423,10304490.67044022,-3198001.769813307,26742857.142857138
-7027279.1308773095,-339780.5917419231,8530082.375304302,11057142.857142858
-13421818.68954867,-3156349.4322672305,2737792.291688846,14057142.857142858
-18720337.679542363,-3582579.341125291,658384.5256009621,19071428.571428575
13906542.770035887,14057370.14125472,19702937.847836256,27914285.714285713
-63340.608776185625,35356.706324269384,186380.98239295118,200000.00000000003
-15949908.129100254,-2295558.304652777,32354.672521706638,16114285.714285715
-2107792.6326083555,-260534.64481387305,2057674.851458478,2957142.8571428573
-10297405.217586879,4972730.753327991,38360421.33830083,40028571.42857143
-8082034.766750448,21078476.16670529,-11766251.695746329,25457142.857142854
-10971326.633985324,-505128.2790074807,9023345.038260376,14214285.714285715
17151552.31920478,14530136.453697892,-3261619.7185914745,22714285.714285713
-17575740.915421013,-12344698.954879206,1476863.819890669,21528571.42857143
-12954096.235077329,-853820.2192505497,8494436.001880534,15514285.714285716
-5978011.057198016,-803110.8439647508,5363427.63128188,8071428.571428572
-10982217.891800247,-2189458.9636078402,597799.050963175,11214285.714285715
8597461.692615699,11937235.465008426,-10495836.913233532,18071428.57142857
-5613476.206769708,1089166.7002237723,-23308852.412230723,24000000.0
-25895934.389587015,-4558271.908331711,4719724.623789854,26714285.714285713
13798730.2425517,18168506.218568437,-15174334.432822062,27400000.0
-17586734.172765244,3012932.3315523653,1008453.8093790493,17871428.57142857
-18043775.664265245,-4780391.593452351,-5016342.239152679,19328571.428571433
-11464786.05459658,-7191545.593205228,-15015248.903762927,20214285.714285716
8316823.501636878,10676489.61763118,-8153711.810410899,15800000.000000002
-15215950.245335886,7249973.524486421,6752375.786373468,18157142.85714286
-6871016.042714195,-167019.26713941578,8349252.578247496,10814285.714285715
-25776837.521091647,-12438134.307998635,-31976294.042849556,42914285.71428572
-4853295.407702412,3080869.513421341,17989551.71227116,18885714.285714284
-8740793.064709816,1753854.7514865997,2028390.2103151968,9142857.142857142
3949770.17540576,7812502.879942078,-13868096.996789856,16399999.999999998
-18379882.578152135,-4268064.164165933,3775062.3470759345,19242857.142857146
-19807960.68906274,-20014344.848178323,836708.667246346,28171428.571428575
-23354648.04064215,-680865.848714229,-13359476.490640962,26914285.714285716
-40397326.55494979,-18123668.443515725,-29826550.90951984,53385714.28571428
-4244548.281455276,4490612.358950243,7716576.797182408,9885714.285714285
-21735099.01974905,2713683.342862616,-12803545.644526588,25371428.571428567
7540048.792021053,-23416410.63146984,-37953169.18021097,45228571.428571425
-27459322.177108824,-4145297.699933769,4000674.6754498533,28057142.85714286
-33134548.00202956,-12259182.020846091,-33767302.46100816,48871428.571428575
2864887.315891456,4985352.436640613,14655245.912987398,15742857.14285714
-8763552.230753006,2859856.034021916,2295947.6831000405,9500000.0
16878767.48750576,-4742325.6172031835,-16577258.972062012,24128571.42857143
-8418497.660316633,-259124.67127255822,7872084.268581905,11528571.428571427
-13389427.50623846,-14040368.3068506,711181.1717759122,19414285.714285716
9156399.668874275,11301157.130185055,-10748825.696195671,18085714.285714287
-30876938.576964315,-4969388.183752601,6214388.20027821,31885714.285714287
-5727036.558730015,2722978.2172864336,5595507.768672645,8457142.857142858
-9724203.422167337,-61447.714625421286,18208889.12051157,20642857.14285714
16522481.845270494,-3198222.0306704934,-15466995.47769629,22857142.857142854
1003149.1788988443,6874985.241495243,-14094929.767980443,15714285.714285715
-11868979.218378745,-1170770.3248643528,6856792.891137026,13757142.857142858
-19088312.526122894,-5637488.410548703,-2804469.526664333,20100000.0
-8989.74704006891,5879.497047195635,26475.3185672965,28571.42857142857
-8367845.847628422,21184.084473709194,10319346.451521311,13285714.285714287
-22296509.593143,-12036242.101974411,21475178.963998064,33214285.714285716
-15149158.975389011,-3334173.687354384,4204412.502059581,16071428.571428575
-5370931.884211476,25423556.595143136,-13099842.01235704,29099999.999999996
-12148844.190253817,-1127807.6335630177,4054597.04922606,12857142.857142856
23539741.175175823,3599916.998788502,-3514947.5781230824,24071428.571428575
-13939932.090551047,-2987317.356918984,2127407.100894641,14414285.714285715
19026963.28505513,9794820.378702868,2213741.559900221,21514285.714285713
6837580.701287086,-14085514.486273501,-25707115.198138546,30100000.000000004
-18990751.66937413,17276564.96767201,-4016092.739062113,25985714.285714284
-7099623.986861421,2461270.117291082,3491496.796418652,8285714.285714287
-30678266.500581767,14048094.163913343,-22988415.77358183,40828571.42857143
-8804738.346810952,260212.66512456458,15681032.822504148,17985714.285714284
-25518668.817322124,-3865276.6672437238,986042.6554208279,25828571.428571433
-8588176.445811823,55324.387209349734,8278344.090113283,11928571.42857143
6926998.926358945,-6715085.421985739,5547018.630802761,11128571.428571427
-9964814.545283463,-690180.7687406974,10746019.631058667,14671428.571428573
-41935672.75966768,-25109455.44142519,-32941994.563056048,58942857.14285714
4526075.494782042,8157253.295756785,-8806026.583105331,12828571.42857143
14934598.915389739,16263823.361228144,-8290459.7748590605,23585714.285714284
-36871118.109915435,-4086412.212691153,-30863793.047636393,48257142.85714286
10173058.099178193,-21167259.767023273,-4277979.0680786595,23871428.57142857
13614432.905796481,-21931200.275364038,-29043884.419199962,38857142.85714286
4642772.197150087,6967113.331567969,35247884.84300242,36228571.428571425
5431918.133551627,10259354.912908422,-12846181.999228146,17314285.714285716
-798435.8870169601,1873232.9127812465,27137996.34327435,27214285.714285713
-24087151.795508597,560452.4090524879,-5996079.60762595,24828571.42857143
14690450.803702386,15230084.70621637,-10352495.091392742,23557142.857142854
-11159262.361892102,3471006.125375068,2786761.7839630386,12014285.714285715
-20961065.028257493,986639.8097502728,-11764625.672581183,24057142.85714286
-34359160.738539025,-11332751.294890732,-12824971.058676144,38385714.28571428
2812698.6738120415,5395324.478618023,-9060950.976239877,10914285.714285715
-22554458.271150976,3498943.03591668,18326765.681335166,29271428.571428575
-27890626.550449487,12049412.363017926,-25443040.02666939,39628571.42857143
-17347481.26231423,-16456483.77174865,1481124.4381823018,23957142.857142854
-25358615.557181,17061587.712119628,-11903060.184874564,32799999.999999996
-24199958.0749588,-3929286.8191081393,3117475.361693566,24714285.714285716
-7319123.619668316,-203969.89631944365,9615264.713845748,12085714.285714285
6615594.092336718,9857294.355294166,-11725217.440329842,16685714.285714285
10660815.870236246,-15465411.975113483,-54118583.67183518,57285714.28571428
30785068.64662262,-5555739.4619255485,-4666887.406632091,31628571.428571433
-2835357.6069492954,-23434453.723890293,2923581.7048941357,23785714.285714284
-24156049.087374102,-13344076.348063773,23538000.117207553,36271428.571428575
-4001563.8052847483,7229527.890861592,-10693798.761657912,13514285.714285713
-37803674.93650901,-10890916.384100161,-23198049.257737197,45671428.571428575
-22537770.009906624,-7867761.364282045,-7132242.757248632,24914285.714285716
-13444837.386226993,-1066313.2568073517,7224217.860520948,15300000.000000002
-18242645.371191274,-4609367.955416338,-22701695.175720032,29485714.285714287
-14187569.971930765,6353085.273885915,5616479.25872518,16528571.42857143
-18850927.569042396,-7790376.580377698,-6614278.8701112075,21442857.14285714
-13113398.244274879,-1431740.8501783223,2732817.6631603506,13471428.571428569
-17051312.214786712,-5290804.704752441,-4956621.481786597,18528571.42857143
24555358.304455705,-2159345.417920015,-5371445.078601902,25228571.428571425
-8728973.043322602,528929.3918849275,9541635.830807827,12942857.142857144
-9363627.951367225,439277.9054653589,13941646.477735132,16800000.0
-5477419.031622906,10800376.027008958,-10695934.916282345,16157142.857142856
-22827903.10470556,-8355642.438235732,-9142493.16802285,25971428.57142857
-36083807.23638689,-12318987.378616542,-11211427.16920152,39742857.142857134
5890160.18310963,1361797.679918828,6609230.534604081,8957142.857142858
10760856.009398628,14678980.354989294,-8461309.507445462,20071428.57142857
-19375560.793922536,-19103309.939897615,-518208.6452350283,27214285.714285716
7531369.259169901,15052662.687047383,-10373293.154399144,19771428.57142857
-12475113.091055382,-1586123.270768318,784707.8025009345,12600000.0
-16330704.453526614,-1713815.397116868,4924274.551299848,17142857.14285714
-12132110.451433145,6002529.303411392,-7463565.050432448,15457142.857142858
4126273.9937394136,5866415.637942054,-2426017.539867261,7571428.57142857
30500213.41162604,-17139784.392481633,-13298974.848016797,37428571.428571425
-3435742.1549489214,41251104.48714328,2288394.2652098564,41457142.85714285
-15318242.767595934,-3963041.641580485,435215.9572921657,15828571.428571431
-12013153.519206157,17355648.863759004,-10067632.675805502,23385714.285714284
-8226141.652118939,-1019413.9671404705,4523155.945054404,9442857.142857144
15030690.857020875,11979840.080716029,10791168.38074298,22042857.14285714
-7128001.110094364,-98332.62358762042,7012983.022197609,10000000.0
14011680.899273952,17109507.684491903,-16727558.657515502,27728571.42857143
14053340.127659766,16701392.734499667,-7691485.4689457305,23142857.14285714
-6144357.49575244,5443649.399075607,-22126309.050185814,23600000.000000004
-15111322.977518857,-1435622.9200221433,3953294.4936696743,15685714.285714287
-2778076.2975743297,6324684.05504742,-18265972.893046264,19528571.428571425
-10075799.641475864,-422355.7377678728,9251953.995011728,13685714.285714285
-16761441.97555585,-7643102.4100556355,-5944411.496633862,19357142.857142854
-21722711.757327247,-12270597.269535448,-24035053.309226386,34642857.14285715
-7603026.706824383,-1252444.6011194258,27215932.83482128,28285714.285714284
1546114.7885220612,19732871.69173225,52599080.82712421,56200000.0
-32182271.81379394,-3897611.6631044378,-26569105.200693008,41914285.71428572
-17316259.712719977,-12244875.488212286,1212086.3961144513,21242857.14285714
-3933624.638705006,9053466.074491639,-11950370.255343635,15500000.0
-909768.4477901722,-160374.48376939588,1709179.707904403,1942857.1428571427
16809204.249279242,13319525.031688591,-17395105.08581186,27614285.714285713
-14003990.01682715,-1210084.5622768917,3193053.6503175045,14414285.714285715
-14313049.115190903,-2778543.0117443115,3399999.592265783,14971428.57142857
-28344089.321633644,16627742.627280565,-16690708.650024628,36857142.85714285
4770116.084474212,8609531.874220593,-13597137.84327616,16785714.285714284
14116659.881105706,16801765.71586279,-10731993.508722166,24428571.428571425
-15164604.864775237,6491235.427662352,8959082.12542676,18771428.57142857
-8462835.109422017,1017285.2788046618,11339314.016649319,14185714.285714284
-17909971.143770546,-1006691.1655110931,406975.3992170077,17942857.14285714
-33936849.6878602,4506971.992085936,-25232059.457785826,42528571.42857144
20613801.20689386,12925037.772284321,4727180.030498732,24785714.285714287
-25810379.310303964,10533903.538107753,-29122205.08067917,40314285.71428572
-7394507.946790076,26362799.046184428,-14988519.317411488,31214285.71428572
-10057821.990373839,-1591269.675909619,5405186.103378533,11528571.42857143
-18623622.02484184,-2625951.580004641,3716013.2460319325,19171428.57142857
1736521.5238525635,2038016.4029537737,-6157322.0470874645,6714285.7142857155
-12408226.095217,2276144.7324788016,20818976.540750887,24342857.142857138
7251259.002634107,-4878677.202980074,-32872319.42347393,34014285.71428572
-8383897.993326943,-3006552.7463355344,-3425933.0801943997,9542857.142857142
-15788402.348983906,-2532416.8382217744,3235604.2080942425,16314285.71428571
-26614461.037891876,-7063199.802423051,6952817.573731253,28399999.999999996
-15296200.818098769,-12034852.588294262,22754411.826895736,29942857.14285714
-5356824.4872350795,-140726.2092218183,5843532.531350867,7928571.428571429
15219548.074377285,13464971.896390509,-2703680.4990849867,20500000.0
-9104288.993968327,451784.01561506256,10379898.983779192,13814285.714285715
18195090.20376043,-30446816.528956246,-52480926.12320696,63342857.14285714
3681411.634557081,7683375.31990558,-16566128.864034632,18628571.42857143
-8156438.40256303,5575049.598939811,16346294.214731248,19100000.000000004
-38405526.585278854,-3420629.4205726315,3635528.4309864715,38728571.428571425
9239377.715806698,-4889079.653035027,11790604.335289253,15757142.857142858
-11359049.218572184,3736491.0161894737,38724355.87297491,40528571.42857143
-18893463.300210916,-19047151.5042533,-3511700.9681123667,27057142.85714286
-14230883.924492223,1865681.1811320388,2344327.267159935,14542857.142857142
-21776113.576170847,18898860.710096035,-8438436.27008101,30042857.142857146
-14640987.46505068,-3705758.9999231845,-2263927.3166252547,15271428.57142857
-14085385.65044921,11467229.127717942,-36932573.365171865,41157142.85714286
58994889.21592402,15206352.652453247,35675340.018142484,70599999.99999999
-27082990.262560513,-9723643.009248966,-31856312.56069502,42928571.428571425
21092965.001413383,-26436239.960184,-21117359.22276391,39871428.57142858
-13812646.407982025,1149011.9518662705,2812646.246116808,14142857.142857142
-6046553.453547858,2822236.0036519333,6802047.393429938,9528571.42857143
16226001.08737225,-22996011.126214653,-31520889.635995146,42257142.857142866
-1991749.4155734386,4988089.0941578355,31024218.04874281,31485714.285714284
-8375763.889721248,978260.8041826007,9052172.66520037,12371428.57142857
-15147431.488463406,2766272.872887256,24641846.61739951,29057142.85714286
-19301434.021817748,15987660.322852185,-5285924.210161878,25614285.714285713
14335218.060891356,-5401898.998919118,6756054.740622913,16742857.142857144
11248842.505278315,-5945181.104177319,-19927444.83890315,23642857.142857146
24392459.713750467,10462831.679730346,-3273754.8041899954,26742857.14285715
-16752198.933470702,7953188.8757538255,7452475.636338083,19985714.285714284
-17043478.54225632,5270098.15802438,9475542.442754205,20200000.0
1163101.7847539976,34117635.72937276,-4467735.1184212165,34428571.42857143
26394027.45424314,-14911611.68796227,-18935442.64987699,35742857.14285714
15671106.310488818,-9725208.913748221,-20667044.74735828,27699999.999999996
-4507167.368605894,6498725.853335405,12560350.821447209,14842857.142857144
-48773136.8189838,-10827355.984238947,-44018255.69199702,66585714.2857143
19380288.51360811,4537227.414703784,-12057253.927477513,23271428.571428567
-9944044.421679901,-266618.5936941971,11681102.70356681,15342857.142857144
-8292511.35443017,259726.17977990626,8045765.890739787,11557142.857142856
-26643165.252439633,-3395364.497328106,6291651.445728581,27585714.285714287
16370733.306585016,16890212.786151238,24688657.376277093,34100000.0
52394172.7348953,-9181481.935070498,7671098.146906936,53742857.142857134
-10603678.323868696,-2047252.0897368488,3177110.352365455,11257142.857142858
5408145.446506666,-21493161.428584058,-30849804.93342177,37985714.28571429
589692.4729391868,10410076.342687204,-7099491.348569677,12614285.714285713
4849223.507108771,11373685.682779599,-17676278.906480372,21571428.57142857
-15449605.282981932,12476373.85968033,13655028.081755897,24100000.0
-4072344.44703454,2590972.4574322035,-16746879.54427185,17428571.428571425
-2745969.9237915697,-210017.20803189257,2136760.639752442,3485714.2857142864
-17934084.644939397,-21040092.86916544,-12365580.851741696,30285714.285714287
-5085268.739952321,8965334.783084959,-12219078.332434101,15985714.285714285
16771374.276310163,9654740.701460076,-2021730.702827954,19457142.857142854
3498648.5943403263,4051451.8533200794,33026135.166816216,33457142.85714285
-12545336.517055564,9762649.478693128,-28445280.493259497,32585714.285714287
47437706.8209685,-8213339.376118528,6952163.611491596,48642857.14285715
-943153.7504964696,10299304.034560733,-1544873.5033326757,10457142.85714286
7686406.831910573,-22556241.398951955,-32959068.949340492,40671428.57142857
-26862974.85682435,11422780.59019348,-28094626.040734146,40514285.71428571
25042261.702688072,61721371.66574553,-5928352.8653969765,66871428.57142857
-28465228.22894888,-16089160.691249533,-18360819.42956257,37500000.0
6133008.933065384,8501302.728584409,-7615878.436812898,12957142.857142858
9309516.024157356,-18825528.555163797,-29274397.43527343,36028571.42857143
-8233705.243681873,-1064505.8622476964,1277859.6282087953,8400000.0
-39007.97233197873,1566420.6256445851,-26625362.09786575,26671428.57142857
-3715148.206710472,38864895.41654103,249543.46526139948,39042857.14285714
-7377888.261386936,36365.79020815097,6813546.94147095,10042857.142857144
15048042.20098418,53301953.20007744,-4714853.510684691,55585714.2857143
-27235180.466114275,15616570.792753056,-19362943.475114174,36885714.28571428
-34957886.15841214,-3949008.3865700564,7903738.300241503,36057142.85714286
-6664775.624638729,-1481291.0164198491,22157704.974492975,23185714.285714284
-20721289.20093127,-1490355.2204730709,-19593810.842494193,28557142.857142854
4382329.544743083,8848401.123656716,-14672609.689897051,17685714.285714287
-37802205.23805258,-6607433.507643108,-3589838.202053023,38542857.14285714
-16710758.45411761,3173945.0401604488,5575538.0700142,17900000.0
-21660962.4926703,-25498566.373245332,-14944055.55370328,36642857.14285715
2039941.3366090422,425632.3938351466,-789941.1501857429,2228571.4285714286
